,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
0,Average Price,44.04,30.99,36.13,83.62,149.0,123.42,116.99,93.4,44.36,58.71,189.01,135.08,125.11,122.66,122.73,98.71,52.78,280.8,22.42,22.65,32.96,31.07
1,Maximum Price,75.0,54.0,69.0,140.0,203.0,176.0,180.0,145.0,70.0,83.0,262.0,235.0,220.0,185.0,240.0,175.0,167.0,560.0,30.0,65.0,77.0,113.0
2,Minimum Price,25.0,21.0,27.0,60.0,87.0,80.0,85.0,70.0,37.0,37.0,112.0,103.0,90.0,93.0,95.0,77.0,36.0,157.0,9.0,9.0,17.0,10.0
3,Modal Price,40.0,28.0,35.0,80.0,160.0,120.0,120.0,100.0,44.0,60.0,180.0,130.0,120.0,120.0,115.0,90.0,50.0,300.0,28.0,20.0,30.0,30.0
4,Andaman and Nicobar,48.33,,67.67,93.67,170.67,151.0,133.33,99.33,55.67,73.33,236.0,178.33,181.67,,132.0,118.33,77.67,308.33,20.33,43.33,50.67,61.67
5,Andhra Pradesh,61.0,46.2,49.2,85.0,162.8,141.8,125.8,105.0,42.4,60.0,164.6,169.2,109.0,143.0,112.2,88.4,59.4,349.0,21.6,33.2,29.4,24.0
6,Arunachal pradesh,39.67,,45.0,91.67,147.67,130.0,117.67,99.33,50.0,73.0,157.0,156.67,155.0,139.0,198.33,,75.0,313.5,21.67,22.33,43.33,41.67
7,Assam,42.96,31.08,36.56,84.16,146.64,113.91,115.8,91.2,47.33,71.29,207.4,145.84,134.56,134.96,147.3,113.12,57.71,258.43,13.75,17.92,33.96,30.61
8,Bihar,37.32,27.42,33.29,76.97,142.35,120.03,112.74,79.42,43.97,55.81,177.43,130.71,119.68,123.81,158.24,101.64,46.16,270.23,23.48,15.94,30.48,26.1
9,Chandigarh,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,12.0,37.0,45.0
10,Chhattisgarh,40.75,36.88,38.38,90.63,160.75,112.38,110.63,92.63,42.63,57.0,205.75,149.38,128.13,128.25,140.63,114.13,47.88,298.88,23.5,23.38,34.13,24.38
11,Delhi,40.0,29.0,31.0,80.0,157.0,143.0,123.0,85.0,44.0,54.0,207.0,133.0,119.0,122.0,133.0,98.0,57.0,248.0,26.0,17.0,37.0,42.0
12,DNH and DD,48.0,41.0,46.0,86.33,157.33,137.0,126.0,94.0,43.0,64.33,192.33,146.0,132.33,133.33,125.0,101.0,69.33,350.0,27.0,20.67,26.33,26.33
13,Goa,52.0,48.0,47.0,88.0,160.0,147.0,125.0,93.0,43.0,59.0,223.0,143.0,133.0,127.0,123.0,96.0,60.0,343.0,24.0,38.0,33.0,33.0
14,Gujarat,42.86,35.43,38.43,80.0,147.29,121.57,112.71,90.86,41.43,59.86,185.43,139.43,130.71,130.29,123.57,104.43,51.0,260.14,15.57,23.57,35.71,31.29
15,Haryana,43.25,29.25,34.75,77.0,127.75,105.25,106.75,95.75,44.0,59.5,177.0,136.5,125.0,127.5,153.5,106.25,45.0,232.25,25.25,17.25,40.25,31.0
16,Himachal Pradesh,39.33,21.0,33.0,82.25,154.42,131.25,116.25,88.92,46.33,53.5,220.0,158.58,130.83,123.9,141.2,118.5,46.17,250.0,27.58,22.83,36.33,45.17
17,Jammu and Kashmir,43.6,33.4,38.67,92.5,138.0,122.17,123.17,103.33,50.33,51.67,,143.5,135.83,130.0,145.2,113.33,50.0,309.83,27.0,23.17,35.17,48.33
18,Jharkhand,38.89,31.44,35.47,78.84,145.47,117.58,110.84,82.74,45.39,58.76,177.08,135.42,121.84,127.78,149.47,103.44,47.33,289.76,24.78,17.26,28.95,22.37
19,Karnataka,58.8,43.73,46.57,94.03,158.23,137.77,124.83,105.53,42.77,50.2,180.6,164.67,118.53,136.41,119.4,95.9,51.8,287.93,19.1,31.9,32.13,22.07
20,Kerala,50.21,45.14,47.79,100.29,175.0,152.23,137.46,113.5,42.79,54.21,226.57,176.0,143.5,130.0,117.79,96.85,60.93,234.36,15.07,37.29,32.14,30.86
21,Madhya Pradesh,39.15,28.76,34.35,80.13,150.87,115.85,113.48,89.98,42.52,57.59,189.04,133.09,117.46,109.72,135.47,106.88,45.98,250.63,19.26,18.8,27.43,28.39
22,Maharashtra,51.42,39.47,42.89,83.32,161.95,131.74,124.53,96.42,42.42,58.84,184.68,156.28,126.0,108.11,119.21,99.31,54.16,295.37,23.42,28.26,26.42,29.84
23,Manipur,50.0,36.0,36.0,85.0,165.0,130.0,125.0,81.0,55.0,,140.0,140.0,110.0,130.0,140.0,105.0,70.0,240.0,25.0,25.0,45.0,45.0
24,Meghalaya,38.6,38.67,37.3,90.0,158.86,127.83,120.0,89.6,48.6,73.5,,130.56,139.25,122.56,180.5,139.0,75.5,370.9,21.6,22.6,41.1,34.6
25,Mizoram,47.91,41.89,45.8,105.22,140.86,120.57,127.25,101.09,50.91,77.45,159.5,188.8,170.8,128.82,175.5,131.2,119.63,481.4,29.18,39.0,59.18,77.1
26,Nagaland,41.69,42.63,48.0,96.67,130.67,128.75,120.33,96.75,50.06,73.29,200.0,139.06,166.0,147.38,200.0,137.5,78.89,321.33,17.56,25.44,53.44,48.75
27,Odisha,37.83,37.16,40.52,79.79,151.46,119.13,114.13,81.21,44.13,52.17,172.43,134.13,110.78,130.36,114.96,93.5,50.13,282.18,26.09,19.71,31.5,23.88
28,Puducherry,61.0,43.0,35.0,87.0,163.0,124.0,115.0,89.0,42.0,48.0,189.0,142.0,132.0,,102.0,92.0,56.0,314.0,26.0,36.0,31.0,22.0
29,Punjab,38.73,24.73,30.93,85.27,154.13,124.67,115.6,98.0,44.13,59.13,197.58,120.71,117.57,115.57,130.17,99.4,51.47,271.2,26.6,16.73,30.27,38.47
30,Rajasthan,41.19,29.11,32.37,74.41,120.89,109.07,103.52,88.85,42.26,51.73,183.07,147.44,124.36,135.19,155.7,127.0,44.04,295.65,20.04,22.22,35.48,34.85
31,Sikkim,56.67,37.0,40.33,85.0,146.67,134.33,125.67,101.67,49.33,62.33,,168.67,134.0,130.5,177.67,,62.0,443.33,18.0,30.67,40.0,36.67
32,Tamil Nadu,62.1,45.28,54.39,86.94,162.35,141.45,124.13,93.89,42.61,46.71,203.48,179.14,125.32,,113.52,90.42,54.68,314.64,24.23,35.32,32.26,22.48
33,Telangana,53.6,41.8,45.5,79.0,155.4,124.5,116.1,91.0,41.1,65.7,163.6,165.8,120.1,150.17,115.1,97.4,55.8,301.5,20.5,27.9,25.2,23.7
34,Tripura,38.75,,38.75,85.67,141.33,128.0,110.0,103.5,48.25,70.25,,130.0,122.67,114.5,139.75,99.5,69.25,221.5,10.5,20.0,32.25,38.0
35,Uttar Pradesh,38.4,26.81,33.12,78.77,143.56,116.79,111.89,93.4,43.53,62.34,189.18,138.71,127.6,130.83,155.59,109.86,47.45,243.32,26.83,16.39,30.12,31.61
36,Uttarakhand,37.0,27.75,34.25,87.25,141.25,110.25,110.5,95.75,43.5,61.75,156.0,134.5,133.25,130.5,144.25,116.0,53.25,264.5,28.75,12.0,27.5,22.25
