name;bd1;bd2;bd3;bd4;bd5;bd6;bd7;bd8;adress;gps;tel;mail;web;;
Associates Four Services LLC;Active Member;Class A;Design/Build;Hardscape;Landscape Design;;;;5267 W Airport Rd., Ste. J, Bloomington, IN 47403;39.134879, -86.60157300000003;(812) 825-8255;;https://associatesfour.com/;;
Allen & Scott Enterprises;Active Member;Class A;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;136 Casco Dr, Avon, IN 46123;39.7613368, -86.3727973;(317) 339-8536;;http://allenandscottenterprises.com/;;
Alsip Nursery;Associate Member;Hardscape Supplier/ Mulch;Horticulture, Product Supplier;Irrigation Supply;Landscape Design;Ponds;Soil Amendments;Turf/Sod;10255 Wicker Ave, Saint John, IN 46373;41.4325502, -87.46834899999999;(815) 790-0707;-;;;
American BioChar Company;Associate Member;Horticulture, Product Supplier;In-House Landscape Management;Out of State Business;Soil Amendments;Turf/Sod;;;PO Box 962, Niles, MI 49120;41.8297694, -86.2541768;Ph: (269) 663-2224;;https://ambiochar.com/;;
Ameri-Turf;Associate Member;Retail;Soil Amendments;Turf/Sod;Wholesale;;;;4238 E 100 S Anderson, IN 46017;40.0921892, -85.5909042;(765) 378-0256;-;http://www.ameri-turf.com;;
BFG Supply Company;Associate Member;Horticulture, Product Supplier;Irrigation Supply;Out of State Business;Wholesale;;;;PO Box 479, Burton, OH 44021;41.47060889999999, -81.14509950000001;(440) 834-1883;;https://www.bfgsupply.com/;;
Clement Nursery;Active Member;Class D;Conifers;Deciduous trees;Ornamental Trees;Shrubs;;;453 W 450 N Marion, IN 46952;40.614706, -85.6831191;(765) 664-5490;;;;
Brightview Landscape Services;Active Member;Aquatics;Class A;Erosion Control;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;8731 Americana Blvd, Indianapolis, IN 46268;39.9135344, -86.251492;(317) 873-9240;-;https://www.brightview.com/;;
Brownsburg Landscape Co and Garden Center LLC;Active Member;Class A;Design/Build;Erosion Control;Garden Center;Hardscape;Irrigation;Landscape Design;10875 N Co Rd 900 E, Brownsburg, IN 46112-0001;39.9227585, -86.3649085;(317) 852-8440;;;;
Bennett’s Greenhouses Inc;Active Member;Annuals;Class A;Conifers;Deciduous trees;Ground Covers;Horticulture Supplies;Landscape Design;3651 McCarty Lane, Lafayette, IN 47905-4995;40.401824, -86.84048999999999;(765) 447-7636;;http://bennettsgreenhouse.com/;;
Evergreen Nursery & Landscape Inc;Active Member;Class C;Conifers;Deciduous trees;Design/Build;Hardscape;Horticulture Supplies;In-House Landscape Management;3754 S US Hwy 231, Crawfordsville, IN 47933;39.985099, -86.903417;(765) 362-6300;;http://www.evergreennurseryandlandscape.com/;;
Cornerstone Landscape Group; The;Active Member;Class A;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;;620 Hayden St Fort Wayne, IN 46802;41.0719668, -85.1297033;(260) 425-9933;;http://www.cornerstone-landscape.com/;
Dammann’s Garden Center & Greenhouse Inc;Active Member;Annuals;Class B;Conifers;Deciduous trees;Garden Center;Greenhouse;Ground Covers;54 N Auburn St, Indianapolis, IN 46224;39.7663004, -86.244806;(317) 875-1825;;;;
Corressell Landscape; LLC;Active Member;Class A;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;3322 Commerce Dr Newburgh, IN 47630;37.985568, -87.349793;(812) 431-5008;;https://www.corressell-landscape.com/;
Don Smock Auction Co Inc;Associate Member;Business Services;;;;;;;6531 S SR 13, Pendleton, IN 46064;40.0091195, -85.8438448;(765) 778-9277;;http://dsaauctions.com/;;
Express Management;Associate Member;Business Services;;;;;;;7939 Bell Oaks Dr., Newburgh, IN 47630;37.9757652, -87.40013549999999;812-204-2474;-;;;
